GEO_LON,GEO_LAT,INCIDENT_ADDRESS,SERIOUSLY_INJURED,FATALITIES,INCIDENT_ID
-105.20619677100001,39.6651545483,18300 W ALAMEDA AVE,0.0,0.0,2
-105.20619677100001,39.6651545483,18300 W ALAMEDA PKWY,0.0,0.0,11
-105.20619676,39.665157293600004,18300 W ALAMEDA AVE,0.0,0.0,1
-105.20619676,39.665157293600004,18300 W ALAMEDA PKWY,0.0,0.0,10
-105.10988451700001,39.6298959948,S KIPLING ST / W SARATOGA PL,0.0,0.0,6
-105.10988451700001,39.6298959948,W SARATOGA PL / S KIPLING ST,1.0,0.0,3
-105.10985209299999,39.633816251599995,4500 S KIPLING ST,0.0,0.0,2
-105.109826256,39.632075612399994,4500 BLOCK S KIPLING ST,0.0,0.0,3
-105.109826256,39.632075612399994,4800 BLOCK S KIPLING ST,0.0,0.0,2
-105.109815503,39.634650716799996,4400 BLK S KIPLING PKWY / W STANFORD AVE,0.0,0.0,1
-105.10933592,39.6346957941,4490 S KIPLING ST,0.0,0.0,1
-105.108904691,39.6337087784,4550 S KIPLING ST,0.0,0.0,3
-105.108599835,39.632346068400004,4600 BLOCK S KIPLING ST,0.0,0.0,3
-105.108494043,39.6341274495,4550 S KIPLING ST,0.0,0.0,1
-105.108418641,39.6298197388,9900 W SARATOGA PL,0.0,0.0,1
-105.108254944,39.629887827,W SARATOGA PL / S JOHNSON ST,0.0,0.0,3
-105.107978216,39.6304881367,4772 S JOHNSON ST,0.0,0.0,1
-105.107915314,39.633488598,9900 BLOCK W STANFORD AVE,0.0,0.0,1
-105.10718525799999,39.634515666300004,W STANFORD AVE / S JELLISON ST,0.0,0.0,1
-105.106998444,39.633636529099995,S JELLISON ST / W STETSON PL,0.0,0.0,1
-105.106998444,39.633636529099995,W STETSON PL / S JELLISON ST,0.0,0.0,1
-105.10694531899999,39.6266329502,S IRIS ST / W DUMBARTON PL,0.0,0.0,1
-105.10645596200001,39.6284322665,4879 S HOYT ST,0.0,0.0,1
-105.106199297,39.6248185146,W BELLEWOOD PL / S INDEPENDENCE CT,0.0,0.0,1
-105.10613458200001,39.6338285563,9661 W STETSON PL,0.0,1.0,1
-105.105370041,39.6346688138,9600 W STANFORD AVE,0.0,0.0,1
-105.104563092,39.6304245298,9505 W WAGONTRAIL DR,0.0,0.0,1
-105.10435516700001,39.626997624299996,4972 S HOYT ST,0.0,0.0,1
-105.103242816,39.6347412649,W STANFORD AVE / S HOLLAND ST,0.0,0.0,1
-105.10298255,39.6292771312,9400 W WAGONTRAIL DR,0.0,0.0,1
-105.10278185799999,39.6252133223,S GARLAND ST / W BELLEWOOD PL,0.0,0.0,1
-105.10274766200001,39.6268659131,4800 BLOCK S GARLAND ST,0.0,0.0,1
-105.102695161,39.6242219539,S HOLLAND ST / W BELLEVIEW AVE,0.0,0.0,3
-105.10260300600001,39.6267061931,4902 S GARLAND ST,0.0,0.0,1
-105.102397813,39.6278338411,S GARLAND ST / W SARATOGA PL,0.0,0.0,2
-105.10230432200001,39.6305514278,4800 S HOLLAND WAY,0.0,0.0,1
-105.101606154,39.6328331973,S GARLAND WAY / S GARRISON ST,0.0,0.0,1
-105.101606154,39.6328331973,S GARRISON ST / S GARLAND WAY,0.0,0.0,1
-105.10150159,39.6287340272,W SARATOGA PL / W WAGONTRAIL DR,0.0,0.0,1
-105.10150159,39.6287340272,W WAGONTRAIL DR / W SARATOGA PL,0.0,0.0,1
-105.10146394700001,39.6347434804,S GAR WAY / W STANFORD AVE,0.0,0.0,1
-105.100723837,39.6275261743,S FIELD WAY / S FLOWER WAY,0.0,0.0,1
-105.10058630399999,39.6304852018,S GARRISON ST / S GAR WAY,0.0,0.0,1
-105.100555953,39.6339497355,W STETSON PL / S GARRISON ST,0.0,0.0,1
-105.10054434,39.634743102899996,W STANFORD AVE / S GARRISON ST,0.0,0.0,1
-105.10045460799999,39.6349130096,4400 BLOCK S GARRISON ST,0.0,0.0,1
-105.100287333,39.6337346845,4600 BLOCK S GARRISON ST,1.0,0.0,2
-105.099742171,39.629710883899996,S GARRISON ST / W SARATOGA PL,0.0,0.0,2
-105.099742171,39.629710883899996,W SARATOGA PL / S GARRISON ST,0.0,0.0,1
-105.09970873799999,39.6256092044,4972 S FIELD CT,0.0,0.0,1
-105.099655446,39.6299768879,9082 W LAYTON AVE,0.0,0.0,1
-105.09936559399999,39.62913033,9200 W SARATOGA PL,0.0,0.0,1
-105.09851671700001,39.6242214747,S FIELD WAY / W BELLEVIEW AVE,0.0,0.0,1
-105.09851671700001,39.6242214747,W BELLEVIEW AVE / S FIELD WAY,0.0,0.0,1
